feature,cluster,redundant_group
dist_r10,1,False
dist_r50,2,False
hrs_to_fomc,3,True
is_fomc_day,3,True
days_to_event,4,False
days_since_event,5,False
dow,6,False
is_friday_pm,7,False
hrs_to_nfp,8,True
is_nfp_day,8,True
day_of_month,9,False
after_gap,10,True
bar_gap_min,10,True
weekend_gap_atr,11,False
inside_bar,12,False
outside_bar,13,False
efficiency_1_l1,14,False
gap_atr,15,False
engulf,16,False
ret_autocorr1_96,17,False
var_ratio_4_96,18,False
ret_kurt_96,19,False
vol_of_vol,20,False
lr_r2_96,21,False
donch_width_96,22,False
is_ny_open_hour,23,False
is_1000_window,24,False
hour_sin,25,False
sess_london,26,False
hour_est,27,False
mins_since_ny_open,28,False
sess_overlap,29,False
is_830_window,30,False
div_rsi,31,False
efficiency_8,32,False
adx14,33,True
adx14_l1,33,True
adx14_l2,33,True
donch_width_20,34,False
compression_20,35,False
squeeze,36,False
lr_r2_20,37,False
vol_expansion_l1,38,False
vol_expansion_l2,39,False
vol_expansion,40,False
atr_ratio,41,False
rv_z_96,42,False
absret_z_l2,43,False
range_atr_l1,44,False
absret_z_l1,45,False
absret_z,46,True
range_sum_z,46,True
rv_1,47,False
range_atr,48,False
range_atr_l2,49,False
hour_cos,50,False
sess_ny,51,False
bar_of_day,52,False
mins_to_ny_close,53,False
sess_tokyo,54,False
day_range_atr,55,False
atr14_p,56,True
park_20,56,True
rv_8,57,False
atr14_rank_1y,58,False
bb_width,59,False
atr96_p,60,False
rv_rank_1y,61,False
n_m1,62,False
is_1400_window,63,False
is_sunday_open,64,False
is_london_open_hour,65,False
body_frac,66,True
efficiency_1,66,True
dnwick_frac,67,False
upwick_frac,68,False
bos_dn,69,False
choch,70,False
bos_up,71,False
bars_since_bos,72,False
sweep_high_8,73,False
sweep_high_l2,74,False
sweep_high_l1,75,False
sweep_high,76,False
sweep_low_8,77,False
sweep_low_l2,78,False
sweep_low_l1,79,False
sweep_low,80,False
body_atr_l2,81,True
ret_1_l2,81,True
close_pos_l2,82,False
m1_imb_l2,83,False
bos_up_l2,84,False
bos_dn_l2,85,False
ret_480,86,False
dist_pwh,87,False
dist_pwl,88,False
ret_192,89,False
dist_week_open,90,False
dist_month_open,91,False
dist_pml,92,False
dist_pmh,93,False
hh,94,False
structure,95,False
ll,96,False
m1_imb_8,97,False
m1_imb_32,98,False
up_frac_8,99,False
up_frac_20,100,False
macd_hist_n,101,True
macd_hist_n_l1,101,True
macd_hist_n_l2,101,True
bb_pos_l2,102,True
stoch_k_l2,102,True
stoch_d,103,True
stoch_k_l1,103,True
bb_pos_l1,104,False
ema8_slope,105,False
bb_pos,106,True
cci20,106,True
donch_pos_20,106,True
ema20_dist,106,True
kc_pos,106,True
rsi14,106,True
sma20_dist,106,True
ema8_dist,107,True
rsi7,107,True
stoch_k,107,True
willr14,107,True
rsi14_z96,108,False
dist_fvg_bull,109,False
dist_fvg_bear,110,False
dist_swing_high,111,False
ret_8,112,False
dist_swing_low,113,False
lr_slope_20,114,True
ret_16,114,True
di_diff_l2,115,True
rsi14_l2,115,True
di_diff,116,True
di_diff_l1,116,True
ema20_slope,116,True
rsi14_l1,116,True
dist_day_open,117,True
dist_pdc,117,True
dist_vwap_day_l1,118,True
dist_vwap_day_l2,118,True
dist_vwap_day,119,True
pos_in_day_range,119,True
ret_32,120,False
dist_ob_bear,121,False
dist_ob_bull,122,False
dist_day_high,123,False
dist_day_low,124,False
last_bos_dir,125,False
aroon_up,126,False
aroon_dn,127,False
dist_pdh,128,False
dist_r1,129,False
dist_pdl,130,False
dist_s1,131,False
lr_slope_96,132,True
ret_96,132,True
ema200_dist,133,True
ema200_slope,133,True
ema_ribbon,134,False
ema50_dist,135,True
ema50_slope,135,True
macd_n,135,True
rsi28,135,True
dist_pp,136,True
dist_vwap_96,136,True
donch_pos_96,136,True
ema100_dist,136,True
ema100_slope,136,True
ret_skew_96,137,False
above_pdh,138,False
below_pdl,139,False
ret_skew_32,140,False
fvg_bear_32,141,False
fvg_bull_32,142,False
body_atr,143,True
ret_1,143,True
ret_z_16,143,True
ret_z_480,143,True
ret_z_96,143,True
close_streak,144,False
close_pos,145,False
m1_imb,146,False
ret_4,147,False
macd_hist_slope,148,False
ret_2,149,False
up_frac_3,150,False
body_atr_l1,151,True
ret_1_l1,151,True
close_pos_l1,152,False
m1_imb_l1,153,False
fvg_bull,154,False
fvg_bear,155,False
bos_up_l1,156,False
bos_dn_l1,157,False
efficiency_1_l2,158,False
gap_atr_l2,159,False
gap_atr_l1,160,False
month,161,False
