,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ret_1,213.23912143707275,192.66316986083984,156.1220088005066,197.81287908554077,168.74189043045044,181.89351081848145,150.63840007781982,252.38821077346802,327.12101459503174,289.9469413757324,358.3028326034546,208.91710948944092,209.44542980194092
ret_2,609.1238131523132,507.1598701477051,444.06682109832764,327.51559019088745,633.2326436042786,560.4245367050171,473.1112003326416,524.0801677703857,572.588830947876,672.4458065032959,849.8837695121765,457.61418294906616,605.6404390335083
ret_4,709.3575415611267,571.7696795463562,715.9171504974365,633.8469309806824,714.5823659896851,643.085611820221,610.8814883232117,601.3705878257751,694.988890171051,574.0216684341431,597.0712008476257,710.7467541694641,763.084762096405
ret_8,1527.5314574241638,1529.733784198761,1461.095537185669,1484.096261024475,1032.6537675857544,1108.7987780570984,1317.7630171775818,1414.4464116096497,1124.2267127037048,1176.0240569114685,1072.6796107292175,731.1780681610107,836.073609828949
ret_16,512.8794326782227,631.2773857116699,625.0683493614197,700.8284668922424,704.4341564178467,952.2635807991028,855.7972707748413,767.3497972488403,509.4697437286377,880.1829948425293,890.3162794113159,992.364996433258,775.4275374412537
ret_32,1957.3260850906372,2062.435164451599,1842.722948551178,2238.797357559204,2054.1123747825623,1799.4200654029846,1887.6586627960205,2498.5617814064026,2412.4677419662476,2326.3757605552673,2223.0372924804688,2602.6736826896667,2619.947048664093
ret_96,3603.705420732498,3215.7534399032593,3681.630711078644,4188.9987688064575,4191.119281291962,4766.943727970123,4787.915214061737,4910.985060214996,4951.725677490234,4974.962915420532,4869.951545238495,5468.493673801422,5180.284413814545
ret_192,5573.119378089905,6028.4548926353455,6841.123699188232,6569.347043991089,7675.482128143311,7076.129288673401,7569.104011058807,7193.7657861709595,8570.332964897156,7771.963747024536,8532.237649917603,8870.48317527771,9082.71092414856
ret_480,5750.589364528656,6928.093156337738,7563.146269321442,9202.702168941498,9069.769330501556,9420.952481746674,9443.226490974426,10085.851875782013,11454.981903553009,10462.174144744873,10368.26675415039,10319.28828382492,10794.768343448639
ret_z_16,231.6607985496521,437.67075872421265,313.4605793952942,408.1940846443176,330.38022899627686,388.9784507751465,415.93109130859375,410.8867220878601,250.95337009429932,284.3681011199951,262.929790019989,266.53954696655273,319.6529598236084
