model,auc,logloss,brier,top5_exp_R
random_forest,0.5212974316505528,0.6668210813149541,0.23695733537511227,0.07752618555448718
ensemble_rank,0.5197970248425797,0.8429265102309162,0.29818084682523693,0.04645760569507089
xgboost,0.5194342757960552,0.6781388759613037,0.24188962280750276,0.049373788642752506
lightgbm,0.5164851897662224,0.6890775015693931,0.24657537049940048,0.023943629759513342
mlp,0.5154048254452392,0.9239795207977295,0.30509728789329527,0.04952510495068041
lstm,0.5137619446332884,0.6687307834625245,0.23784992694854737,0.025539974787783092
logistic,0.512794365236342,0.6699151158332824,0.23840992152690887,0.04183990499335353
transformer,0.5121893819827011,0.6684086441993713,0.23770855665206908,0.052293282271418204
gru,0.509573680732167,0.6682683944702148,0.2376443088054657,0.04362000539366721
tcn,0.5084197554943497,0.6685786247253418,0.23777151107788086,0.012752574996413113
linear_svm,0.5018827465647,6.371960113317324,0.47333990127146974,0.033666386515235326
