,mean_auc_drop
vol_of_vol,0.005814713207176932
dist_r1,0.0030484631742192514
ret_192,0.0024214980690427565
days_to_event,0.0019796063069360548
dist_ob_bear,0.0018769271094652245
dist_pwl,0.001448582577600203
rv_rank_1y,0.0014043047916296736
ret_skew_96,0.0013945393003450546
dist_s1,0.0013268362140345842
ret_skew_32,0.001287144665038542
dist_pwh,0.001277494311040887
dist_pml,0.0012535263491508057
rv_z_96,0.001241019215103815
ret_96,0.0010815265543408688
mins_since_ny_open,0.0010568666981145187
hour_sin,0.0010356427028628639
ret_480,0.0008335474450155514
dist_pp,0.0007777027331630215
dist_pdh,0.0007621769793865196
bars_since_bos,0.0007182260731282882
lr_slope_96,0.0006909297131669397
dist_fvg_bull,0.000674356426740963
hour_est,0.000662637704314554
var_ratio_4_96,0.0006608952037784702
atr96_p,0.0005430326758630866
dist_day_low,0.000514501985206417
macd_hist_n,0.0005137208439979594
ret_autocorr1_96,0.0005106237851294863
hour_cos,0.0005088919848068215
rsi14_z96,0.0005085833416219229
donch_width_96,0.0005081295908742437
dist_vwap_96,0.0005028809273908511
close_pos,0.00046503078766317135
dist_r50,0.0004350279895696992
ret_z_96,0.000427905473489069
vol_expansion,0.00040848207437338413
dist_vwap_day,0.0004080016549323033
range_atr_l2,0.00039376275465041743
month,0.0003715649737457231
aroon_up,0.0003567478404133591
rv_1,0.0003517369111103082
ema8_slope,0.0003201963530132061
ret_2,0.0003144004756551559
dist_pmh,0.0003076783666308147
dist_ob_bull,0.00029877554206510687
dist_swing_low,0.0002734188458147398
macd_hist_n_l2,0.00023548899934252207
ema8_dist,0.00023460307127709523
dist_vwap_day_l2,0.00023185832189946223
is_830_window,0.0002207402016935663
dnwick_frac,0.00022014351310417624
ema200_dist,0.00020905221500044924
absret_z,0.00020045675892695533
dist_pdl,0.00019353972827943858
bar_of_day,0.00017527066449703663
ema_ribbon,0.00016954628083346948
above_pdh,0.00015347390856405388
rsi14_l2,0.00014712778404890603
macd_hist_slope,0.00014685985971548318
lr_r2_20,0.0001220396269150011
rsi14_l1,0.00011978310591076458
